event_type,sub_event_type,actor1,inter1,admin2,source_scale,fatalities
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Rizal,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,2
Battles,Armed clash,NPA: New People's Army,2,Oriental Mindoro,National,1
Battles,Armed clash,NPA: New People's Army,2,Oriental Mindoro,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Negros Oriental,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,Local partner-National,5
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Tarlac,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Isabela,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bataan,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Isabela,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Agusan del Norte,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Lanao del Norte,Local partner-National,1
Battles,Armed clash,NPA: New People's Army,2,Bukidnon,National,3
Battles,Armed clash,NPA: New People's Army,2,Laguna,National,1
Battles,Armed clash,NPA: New People's Army,2,Quezon,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,International,0
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,South Cotabato,Local partner-National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,International,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cavite,Local partner-National,2
Battles,Armed clash,NPA: New People's Army,2,Benguet,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Laguna,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Camarines Norte,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Strategic developments,Looting/property destruction,Unidentified Armed Group (Philippines),3,Surigao del Sur,National,0
Battles,Armed clash,NPA: New People's Army,2,Kalinga,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Violence against civilians,Abduction/forced disappearance,ASG: Abu Sayyaf,2,Bohol,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Bohol,National,2
Violence against civilians,Attack,Unidentified Communal Militia (Philippines),4,Cavite,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Quezon,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency,1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Battles,Armed clash,NPA: New People's Army,2,Laguna,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Battles,Armed clash,NPA: New People's Army,2,Zamboanga Sibugay,National,2
Battles,Armed clash,NPA: New People's Army,2,Sultan Kudarat,National,0
Violence against civilians,Abduction/forced disappearance,NPA: New People's Army,2,Agusan del Sur,National,0
Battles,Armed clash,NPA: New People's Army,2,Kalinga,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Isabela,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao de Oro,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Protests,Peaceful protest,Protesters (Philippines),6,Bataan,National,0
Battles,Armed clash,NPA: New People's Army,2,Isabela,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Bataan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Quezon,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cebu,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Leyte,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,ASG: Abu Sayyaf,2,Basilan,National,20
Strategic developments,Arrests,NPA: New People's Army,2,Misamis Occidental,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,2
Battles,Armed clash,NPA: New People's Army,2,Sultan Kudarat,National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Benguet,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,2
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Maguindanao,Local partner-National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Samar,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Isabela,National,2
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Bukidnon,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Iloilo,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Explosions/Remote violence,Air/drone strike,Military Forces of the Philippines (2016-),1,Davao del Sur,Subnational,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,2
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,3
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Isabela,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Strategic developments,Arrests,NPA: New People's Army,2,Agusan del Norte,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,3
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Camarines Norte,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Philippine Drug Enforcement Agency,1,Northern Samar,National,1
Battles,Armed clash,NPA: New People's Army,2,Davao Occidental,Subnational,0
Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Philippines),3,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,1
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,4
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Batangas,Local partner-National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Davao del Sur,Local partner-Other,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Pangasinan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Batangas,Local partner-National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Quezon,National,2
Battles,Armed clash,NPA: New People's Army,2,Occidental Mindoro,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,4
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,Regional,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Albay,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,La Union,Local partner-National,1
Protests,Peaceful protest,Protesters (Philippines),6,Leyte,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Laguna,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,4
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Camarines Norte,National,1
Battles,Armed clash,NPA: New People's Army,2,Davao Occidental,Subnational,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Nueva Ecija,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Tarlac,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Davao Oriental,National,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,15
Battles,Armed clash,Police Forces of the Philippines (2016-),1,Quezon,Local partner-National,1
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Davao Oriental,National,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Basilan,Regional,2
Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Philippines),3,Metro Manila,National-International,2
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Maguindanao,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Maguindanao,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,Local partner-National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Antique,Local partner-National,1
Battles,Armed clash,Police Forces of the Philippines (2016-),1,Bohol,National,1
Strategic developments,Agreement,ASG: Abu Sayyaf,2,Sulu,National,0
Strategic developments,Agreement,ASG: Abu Sayyaf,2,Basilan,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,2
Battles,Armed clash,Anti-Drug Vigilantes (Philippines),3,Laguna,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Rizal,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Camarines Sur,Local partner-National,1
Violence against civilians,Abduction/forced disappearance,NPA: New People's Army,2,Bukidnon,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Lanao del Norte,Local partner-National,1
Battles,Armed clash,Police Forces of the Philippines (2016-),1,Laguna,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Misamis Oriental,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Ilocos Norte,Local partner-National,1
Battles,Armed clash,ASG: Abu Sayyaf,2,Bohol,International,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,South Cotabato,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Rizal,Local partner-National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Battles,Armed clash,NPA: New People's Army,2,Cagayan,National,0
Strategic developments,Arrests,NPA: New People's Army,2,Cagayan,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,2
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Maguindanao,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Isabela,National,1
Battles,Armed clash,NPA: New People's Army,2,Zamboanga del Sur,National,1
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Davao de Oro,Local partner-Other,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Tarlac,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Battles,Armed clash,AKP: Ansar al-Khilafah in the Philippines,2,Sarangani,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Maguindanao,Local partner-National,4
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Davao del Sur,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Laguna,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,4
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Local partner-National,1
Protests,Peaceful protest,Protesters (Philippines),6,Aklan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Albay,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Batangas,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Bulacan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Capiz,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cavite,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cebu,National,0
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Samar,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Leyte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Pampanga,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Pangasinan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Quezon,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Rizal,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Zambales,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Iloilo,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Oriental Mindoro,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Davao del Sur,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Albay,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Cavite,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Laguna,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Riots,Violent demonstration,Rioters (Philippines),5,Metro Manila,International,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,International,0
Protests,Peaceful protest,Protesters (Philippines),6,Pangasinan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Iloilo,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Pangasinan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Pangasinan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Misamis Oriental,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Laguna,National,1
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Davao del Sur,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,NPA: New People's Army,2,Davao del Sur,National,0
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Davao del Norte,National,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,Subnational,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Aklan,Local partner-National,1
Battles,Armed clash,NPA: New People's Army,2,Quirino,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National-International,1
Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Philippines),3,Metro Manila,International,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,Local partner-National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Pangasinan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Pangasinan,National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,La Union,National,2
Battles,Armed clash,MILF: Moro Islamic Liberation Front,3,Cotabato,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Benguet,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Pangasinan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Pangasinan,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Rizal,Local partner-National,1
Battles,Armed clash,Maute Group,2,Lanao del Sur,National,12
Protests,Peaceful protest,Protesters (Philippines),6,Tarlac,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Isabela,National,1
Battles,Armed clash,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Tarlac,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Ilocos Norte,Local partner-National,1
Battles,Armed clash,Maute Group,2,Lanao del Sur,National-International,12
Battles,Armed clash,NPA: New People's Army,2,Davao Oriental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Tarlac,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,Local partner-National,1
Battles,Armed clash,Maute Group,2,Lanao del Sur,National,13
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Camarines Norte,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,Local partner-National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Batangas,Local partner-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Local partner-National,1
